Plate	Well	Compound Id	Batch	Form	Conc	Volume
P110168	A01	CBK394941	DL1005204	DMSO	10.0	90.0
P110168	B01	CBK000460C	248022012	DMSO	10.0	90.0
P110168	C01	CBK270201	BA1040678	DMSO	10.0	90.0
P110168	D01	CBK286872	BJ1840018	DMSO	10.0	90.0
P110168	E01	CBK340140	DI1241853	DMSO	10.0	90.0
P110168	F01	CBK418912	DL1030276	DMSO	10.0	90.0
P110168	G01	CBK040953	176271191	DMSO	10.0	90.0
P110168	H01	CBK000338	274362003	DMSO	10.0	90.0
P110168	I01	CBK003726C	BJ1885002	DMSO	10.0	90.0
P110168	J01	CBK067275	E59300336	DMSO	10.0	90.0
P110168	A02	CBK394941	DL1005204	DMSO	3.33	90.0
P110168	B02	CBK000460C	248022012	DMSO	3.33	90.0
P110168	C02	CBK270201	BA1040678	DMSO	3.33	90.0
P110168	D02	CBK286872	BJ1840018	DMSO	3.33	90.0
P110168	E02	CBK340140	DI1241853	DMSO	3.33	90.0
P110168	F02	CBK418912	DL1030276	DMSO	3.33	90.0
P110168	G02	CBK040953	176271191	DMSO	3.33	90.0
P110168	H02	CBK000338	274362003	DMSO	3.33	90.0
P110168	I02	CBK003726C	BJ1885002	DMSO	3.33	90.0
P110168	J02	CBK067275	E59300336	DMSO	3.33	90.0
P110168	A03	CBK394941	DL1005204	DMSO	1.11	90.0
P110168	B03	CBK000460C	248022012	DMSO	1.11	90.0
P110168	C03	CBK270201	BA1040678	DMSO	1.11	90.0
P110168	D03	CBK286872	BJ1840018	DMSO	1.11	90.0
P110168	E03	CBK340140	DI1241853	DMSO	1.11	90.0
P110168	F03	CBK418912	DL1030276	DMSO	1.11	90.0
P110168	G03	CBK040953	176271191	DMSO	1.11	90.0
P110168	H03	CBK000338	274362003	DMSO	1.11	90.0
P110168	I03	CBK003726C	BJ1885002	DMSO	1.11	90.0
P110168	J03	CBK067275	E59300336	DMSO	1.11	90.0
P110168	A04	CBK394941	DL1005204	DMSO	0.3	90.0
P110168	B04	CBK000460C	248022012	DMSO	0.3	90.0
P110168	C04	CBK270201	BA1040678	DMSO	0.3	90.0
P110168	D04	CBK286872	BJ1840018	DMSO	0.3	90.0
P110168	E04	CBK340140	DI1241853	DMSO	0.3	90.0
P110168	F04	CBK418912	DL1030276	DMSO	0.3	90.0
P110168	G04	CBK040953	176271191	DMSO	0.3	90.0
P110168	H04	CBK000338	274362003	DMSO	0.3	90.0
P110168	I04	CBK003726C	BJ1885002	DMSO	0.3	90.0
P110168	J04	CBK067275	E59300336	DMSO	0.3	90.0
P110168	A05	CBK394941	DL1005204	DMSO	0.1	90.0
P110168	B05	CBK000460C	248022012	DMSO	0.1	90.0
P110168	C05	CBK270201	BA1040678	DMSO	0.1	90.0
P110168	D05	CBK286872	BJ1840018	DMSO	0.1	90.0
P110168	E05	CBK340140	DI1241853	DMSO	0.1	90.0
P110168	F05	CBK418912	DL1030276	DMSO	0.1	90.0
P110168	G05	CBK040953	176271191	DMSO	0.1	90.0
P110168	H05	CBK000338	274362003	DMSO	0.1	90.0
P110168	I05	CBK003726C	BJ1885002	DMSO	0.1	90.0
P110168	J05	CBK067275	E59300336	DMSO	0.1	90.0
P110168	A06	CBK394941	DL1005204	DMSO	0.0333	90.0
P110168	B06	CBK000460C	248022012	DMSO	0.0333	90.0
P110168	C06	CBK270201	BA1040678	DMSO	0.0333	90.0
P110168	D06	CBK286872	BJ1840018	DMSO	0.0333	90.0
P110168	E06	CBK340140	DI1241853	DMSO	0.0333	90.0
P110168	F06	CBK418912	DL1030276	DMSO	0.0333	90.0
P110168	G06	CBK040953	176271191	DMSO	0.0333	90.0
